GISJOIN,STATE,STATEFP,STATENH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
GIS Join Match Code,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,1970: Persons: Total,1980: Persons: Total,1990: Persons: Total,2000: Persons: Total,2010: Persons: Total,2008-2012: Persons: Total,Margin of error: 2008-2012: Persons: Total,1970: Persons: Under 5 years,1980: Persons: Under 5 years,1990: Persons: Under 5 years,2000: Persons: Under 5 years,2010: Persons: Under 5 years,1970: Persons: 5 to 9 years,1980: Persons: 5 to 9 years,1990: Persons: 5 to 9 years,2000: Persons: 5 to 9 years,2010: Persons: 5 to 9 years,1970: Persons: 10 to 14 years,1980: Persons: 10 to 14 years,1990: Persons: 10 to 14 years,2000: Persons: 10 to 14 years,2010: Persons: 10 to 14 years,1970: Persons: 15 to 17 years,1980: Persons: 15 to 17 years,1990: Persons: 15 to 17 years,2000: Persons: 15 to 17 years,2010: Persons: 15 to 17 years,1970: Persons: 18 and 19 years,1980: Persons: 18 and 19 years,1990: Persons: 18 and 19 years,2000: Persons: 18 and 19 years,2010: Persons: 18 and 19 years,1970: Persons: 20 years,1980: Persons: 20 years,1990: Persons: 20 years,2000: Persons: 20 years,2010: Persons: 20 years,1970: Persons: 21 years,1980: Persons: 21 years,1990: Persons: 21 years,2000: Persons: 21 years,2010: Persons: 21 years,1970: Persons: 22 to 24 years,1980: Persons: 22 to 24 years,1990: Persons: 22 to 24 years,2000: Persons: 22 to 24 years,2010: Persons: 22 to 24 years,1970: Persons: 25 to 29 years,1980: Persons: 25 to 29 years,1990: Persons: 25 to 29 years,2000: Persons: 25 to 29 years,2010: Persons: 25 to 29 years,1970: Persons: 30 to 34 years,1980: Persons: 30 to 34 years,1990: Persons: 30 to 34 years,2000: Persons: 30 to 34 years,2010: Persons: 30 to 34 years,1970: Persons: 35 to 44 years,1980: Persons: 35 to 44 years,1990: Persons: 35 to 44 years,2000: Persons: 35 to 44 years,2010: Persons: 35 to 44 years,1970: Persons: 45 to 54 years,1980: Persons: 45 to 54 years,1990: Persons: 45 to 54 years,2000: Persons: 45 to 54 years,2010: Persons: 45 to 54 years,1970: Persons: 55 to 59 years,1980: Persons: 55 to 59 years,1990: Persons: 55 to 59 years,2000: Persons: 55 to 59 years,2010: Persons: 55 to 59 years,1970: Persons: 60 and 61 years,1980: Persons: 60 and 61 years,1990: Persons: 60 and 61 years,2000: Persons: 60 and 61 years,2010: Persons: 60 and 61 years,1970: Persons: 62 to 64 years,1980: Persons: 62 to 64 years,1990: Persons: 62 to 64 years,2000: Persons: 62 to 64 years,2010: Persons: 62 to 64 years,1970: Persons: 65 to 74 years,1980: Persons: 65 to 74 years,1990: Persons: 65 to 74 years,2000: Persons: 65 to 74 years,2010: Persons: 65 to 74 years,1970: Persons: 75 to 84 years,1980: Persons: 75 to 84 years,1990: Persons: 75 to 84 years,2000: Persons: 75 to 84 years,2010: Persons: 75 to 84 years,1970: Persons: 85 years and over,1980: Persons: 85 years and over,1990: Persons: 85 years and over,2000: Persons: 85 years and over,2010: Persons: 85 years and over,1970: Persons: In households,1980: Persons: In households,1990: Persons: In households,2000: Persons: In households,2010: Persons: In households,1970: Persons: In group quarters,1980: Persons: In group quarters,1990: Persons: In group quarters,2000: Persons: In group quarters,2010: Persons: In group quarters,1970: Households: Total,1980: Households: Total,1990: Households: Total,2000: Households: Total,2010: Households: Total,1970: Families: Total,1980: Families: Total,1990: Families: Total,2000: Families: Total,2010: Families: Total,1980: Per capita income in previous year,1990: Per capita income in previous year,2000: Per capita income in previous year,2008-2012: Per capita income in previous year,Margin of error: 2008-2012: Per capita income in previous year,1970: Housing units: Total,1980: Housing units: Total,1990: Housing units: Total,2000: Housing units: Total,2010: Housing units: Total,1970: Housing units: Occupied,1980: Housing units: Occupied,1990: Housing units: Occupied,2000: Housing units: Occupied,2010: Housing units: Occupied,1970: Housing units: Vacant,1980: Housing units: Vacant,1990: Housing units: Vacant,2000: Housing units: Vacant,2010: Housing units: Vacant,1970: Housing units: Vacant--For rent,1980: Housing units: Vacant--For rent,1990: Housing units: Vacant--For rent,2000: Housing units: Vacant--For rent,2010: Housing units: Vacant--For rent,1970: Housing units: Vacant--For sale only,1980: Housing units: Vacant--For sale only,1990: Housing units: Vacant--For sale only,2000: Housing units: Vacant--For sale only,2010: Housing units: Vacant--For sale only,"1970: Housing units: Vacant--Rented or sold, not occupied","1980: Housing units: Vacant--Rented or sold, not occupied","1990: Housing units: Vacant--Rented or sold, not occupied","2000: Housing units: Vacant--Rented or sold, not occupied","2010: Housing units: Vacant--Rented or sold, not occupied","1970: Housing units: Vacant--For seasonal, recreational, occasional, or migratory use","1980: Housing units: Vacant--For seasonal, recreational, occasional, or migratory use","1990: Housing units: Vacant--For seasonal, recreational, occasional, or migratory use","2000: Housing units: Vacant--For seasonal, recreational, occasional, or migratory use","2010: Housing units: Vacant--For seasonal, recreational, occasional, or migratory use",1970: Housing units: Vacant--Other vacant,1980: Housing units: Vacant--Other vacant,1990: Housing units: Vacant--Other vacant,2000: Housing units: Vacant--Other vacant,2010: Housing units: Vacant--Other vacant
G010,Alabama,1,10,3444165,3893888,4040587,4447100,4779736,4777326,0,301031,296412,283295,295992,304957,347305,314150,293587,315345,308229,371822,328096,299413,320252,319655,213362,223590,182493,191833,199618,128389,153816,137933,132747,143853,61297,76093,67624,66614,72318,57045,73269,62666,63146,68473,156202,211825,175112,177105,194531,216947,315460,319562,301196,311034,191048,283292,328918,301819,297888,382941,429714,583587,685512,619501,372973,388995,419421,600209,693854,168516,190062,183677,225450,311906,63333,72355,71033,78966,116144,85993,96744,109277,111116,159983,207904,278382,301218,316748,370501,93639,127614,173264,195749,211607,24418,34019,48507,67301,75684,3363565,3815578,3948185,4332380,4663920,80600,78310,92402,114720,115816,1034113,1341856,1506790,1737080,1883791,869709,1038881,1103835,1215968,1276440,5894,11486,18189,23587,139,1120220,1467374,1670379,1963711,2171853,1034113,1341856,1506790,1737080,1883791,86107,125518,163589,226631,288062,32275,36339,45871,64091,79265,8314,15038,19845,25858,35903,6010,13649,16058,15560,12988,18883,30283,35904,47574,64128,20625,30209,45911,73548,95778
G020,Alaska,2,20,300382,401851,550043,626932,710231,711139,0,32075,38949,54897,47591,53996,36709,35043,51736,53771,50887,34248,34282,43179,56661,50816,16827,22471,22532,32694,31679,9941,14683,14619,17400,20462,7244,8404,8315,8341,10628,8411,8728,8050,7927,10577,19921,27958,24863,23624,33214,26711,48645,53341,42987,55419,22588,42163,59624,46486,47706,38021,54022,103097,114049,92974,26939,34243,53929,94952,111026,8550,12617,16595,27423,49971,2449,3672,5689,7726,16471,2861,4424,7208,9601,19467,4704,8312,15548,22507,35350,1508,2616,5570,10558,14877,675,619,1251,2634,4711,278039,385591,529342,607583,683879,22343,16260,20701,19349,26352,79059,131463,188915,221600,258058,66034,95564,132837,152337,170750,10193,17610,22660,32537,318,90729,162825,232608,260978,306967,79059,131463,188915,221600,258058,11670,31362,43693,39378,48909,2923,10006,7717,7036,6729,577,2867,4967,2612,2876,559,1908,2744,2066,1673,4858,11996,17190,21654,28263,2753,4585,11075,6010,9368
G040,Arizona,4,40,1770900,2718215,3665228,5130632,6392017,6410979,0,158675,213883,292859,382386,455715,185514,211067,281733,389869,453680,193342,219573,258364,378211,448664,106444,146964,148163,216481,270955,64924,105053,112759,151241,190627,31561,54602,59304,76165,93756,30394,53076,55863,71929,89342,84600,156105,164754,214766,259486,116393,236051,318048,374106,439998,100450,207764,316851,368559,416695,195323,297988,528708,768804,822494,189873,251820,349516,627904,842546,79678,132507,146658,238675,375268,30329,50179,59996,84016,144092,41926,74221,92878,119681,206868,107740,202120,290044,363841,497892,44233,85364,151013,235473,280539,9501,19878,37717,68525,103400,1725965,2666186,3584545,5020782,6252633,44935,52029,80683,109850,139384,539157,957032,1368843,1901327,2380990,438573,705048,940106,1287367,1576520,7041,13461,20275,25571,153,584171,1110558,1659430,2189189,2844526,539157,957032,1368843,1901327,2380990,45014,153526,290587,287862,463536,16035,39775,88237,61781,120490,4092,18725,33164,27775,64407,3121,9991,21666,12679,15999,14723,66498,97030,142601,184865,7043,18537,50490,43026,77775
G050,Arkansas,5,50,1923295,2286435,2350725,2673400,2915918,2916372,0,158050,175592,164667,181585,197689,186652,180365,175051,187224,196877,196133,185491,176097,192935,197559,114175,129926,105316,118625,119350,68017,84396,74306,80140,84455,30770,40940,35573,39532,42770,30035,39250,33349,37020,40770,82234,113579,93828,105046,116110,115788,174313,179036,176674,192153,98984,161024,180009,176171,183739,197701,247415,326703,398127,366208,208012,217759,243337,349519,407266,101588,113577,105811,139393,183960,40206,45590,41795,48821,69489,57190,64741,65789,68569,97542,146615,192447,195961,198334,234602,72336,93676,118881,129193,133977,18809,26354,35216,46492,51402,1877595,2234921,2292393,2599492,2836987,45700,51514,58332,73908,78931,615424,816065,891179,1042696,1147084,502107,625390,651555,732261,775811,5614,10520,16904,22007,151,675611,898593,1000667,1173043,1316299,615424,816065,891179,1042696,1147084,60187,82528,109488,130347,169215,18667,23109,31530,33740,46443,6044,9421,15121,18238,18500,3977,8709,11411,8974,7134,10963,20965,18667,29389,38498,20536,20324,32759,40006,58640
G060,California,6,60,19953134,23667902,29760021,33871648,37253956,37325068,0,1642683,1708400,2397715,2486981,2531333,1918127,1650348,2223982,2725880,2505839,1963681,1796019,1977343,2570822,2590930,1111481,1234191,1151685,1466146,1666938,705898,896274,901463,984742,1157002,359833,468066,509737,490829,573642,349557,464384,495714,470556,555775,1031576,1423515,1505343,1419903,1636532,1457614,2232964,2854057,2543541,2744409,1219389,2010051,2832314,2685521,2573468,2358549,2814938,4639321,5485341,5182710,2329755,2359934,2902569,4331635,5252371,933244,1202140,1133907,1467252,2204296,332347,422068,443446,488645,786276,438423,570360,655873,658196,1045921,1105236,1470978,1857221,1887823,2275336,553050,725255,979224,1282178,1370210,142691,218017,299107,425657,600968,19374198,23099853,29008161,33051894,36434140,578936,568049,751860,819754,819816,6573861,8629866,10381206,11502870,12577498,4987806,5936810,7139394,7920049,8642473,8295,16409,22711,29551,88,6996990,9279036,11182882,12214549,13680081,6573861,8629866,10381206,11502870,12577498,423129,649170,801676,711679,1102583,177767,203619,291010,190321,374610,48465,115650,119705,92197,154775,27436,58467,69455,50846,54635,128738,181620,198436,239062,304915,40723,89814,123070,139253,213648
G080,Colorado,8,80,2207259,2889964,3294394,4301261,5029196,5042853,0,186368,216495,252893,297505,343960,224171,213135,253197,308428,348603,233679,226147,227289,311497,332654,129793,153036,127887,183365,200392,87658,115552,97075,123873,139083,44014,60376,51122,62281,69437,44673,59490,48916,60239,67385,115821,182740,138412,183718,211793,157420,302601,289598,331795,372459,133784,266944,322251,332232,353819,255624,346953,568087,736823,699644,234200,270860,336671,614125,742698,93164,125711,130193,194722,328364,33901,43690,49657,61959,115654,45098,58909,71703,82626,153626,111442,148666,194527,226310,309960,60207,74296,101963,141547,170052,16242,24363,32953,48216,69613,2124732,2815572,3214922,4198306,4913318,82527,74392,79472,102955,115878,690928,1061249,1282489,1658238,1972868,545417,739446,854214,1084461,1261527,7998,14821,24049,31039,139,757070,1194253,1477349,1808037,2212898,690928,1061249,1282489,1658238,1972868,66142,133004,194860,149799,240030,17870,36222,62190,31852,57644,5291,21255,26999,16142,32673,3593,10855,9233,8116,8476,22258,48116,64621,72712,102489,17130,16556,31817,20977,38748
G090,Connecticut,9,90,3031709,3107576,3287116,3405565,3574097,3572213,0,253262,185188,228356,223344,202106,295966,205758,209005,244144,222571,304211,256283,194372,241587,240265,167520,175690,117848,132613,152073,96533,112693,93732,84014,98761,46314,55230,51542,40402,48139,44931,55542,49900,38804,46335,138549,161610,150259,108365,133424,206011,249260,287691,201467,214145,168754,241873,296191,250173,206232,355947,369302,510996,581049,484438,381691,338901,356042,480807,575597,157029,178712,147022,176961,240157,54950,65989,59475,56131,84356,71133,90681,88778,75521,118939,174810,219717,256237,231565,254944,91676,109418,142677,174345,166717,22422,35729,46993,64273,84898,2945868,3018841,3185949,3297626,3455945,85841,88735,101167,107939,118152,933269,1093678,1230479,1301670,1371087,766742,814080,864493,881170,908661,8511,20189,28766,37807,222,981158,1158884,1320850,1385975,1487891,933269,1093678,1230479,1301670,1371087,47889,65206,90371,84305,116804,15485,19528,31211,25575,40004,4124,8755,15336,9305,15564,3648,6167,8620,6320,5689,19705,20696,20475,23517,29673,4927,10060,14729,19588,25874
G100,Delaware,10,100,548104,594338,666168,783600,897934,900131,0,48472,41151,48824,51531,55886,57682,42076,46949,55813,56486,59228,48870,43055,55274,56848,31719,34498,24513,31969,36545,19613,25250,21793,23663,28038,8855,12452,11793,11681,14041,8780,12274,11056,10917,13372,26150,33397,31591,29067,35454,38193,49622,59286,51219,57603,32247,45414,59829,57621,53814,65532,68268,98866,127601,116087,63422,63210,68114,103999,133554,24396,31847,29861,39320,57816,8635,11556,11980,13481,21688,11347,15274,17923,18718,31425,27182,36630,49596,56415,72453,13298,17280,23997,34762,41080,3353,5269,7142,10549,15744,531549,578239,646097,759017,873521,16555,16099,20071,24583,24413,164804,207081,247497,298736,342297,136101,154900,175867,204590,230731,7449,15854,23305,29733,297,180233,238611,289919,343072,405885,164804,207081,247497,298736,342297,15429,31530,42422,44336,63588,3725,6521,6242,7393,11399,1373,2501,4066,3273,5985,1149,2405,1870,1693,1687,6763,16243,19365,26030,35982,2419,3860,10879,5947,8535
G110,District Of Columbia,11,110,756510,638333,606900,572059,601723,605759,0,59735,34365,37351,32536,32613,64222,36618,31997,35385,26147,64424,42133,29318,30018,25041,35725,30375,18426,17053,17014,29884,27249,22851,20814,22905,16433,13938,12440,11024,12516,16430,13997,11572,10314,11777,46775,41628,35695,30485,39817,64900,66343,63129,52849,69649,47625,56209,58147,48913,55096,84974,74265,95196,87677,80659,83676,63341,62031,75310,75703,37994,34093,25441,27803,34274,13968,12537,10409,9536,12871,18942,16955,15050,12444,16832,44849,46230,44553,35919,36969,20399,21672,25447,25004,21525,5555,6385,7847,8975,10315,715392,606414,565183,536497,561702,41118,31919,41717,35562,40021,262538,253143,249634,248338,266707,162656,133643,122087,114166,112715,8960,18881,28659,45004,542,278444,276984,278489,274845,296719,262538,253143,249634,248338,266707,15906,23841,28855,26507,30012,10470,10209,13000,9202,13393,894,3708,3119,3021,3930,1219,3802,3788,2667,1933,1052,903,1663,2254,3545,2271,5219,7285,9363,7211
G120,Florida,12,120,6789443,9746324,12937926,15982378,18801310,18885152,0,501179,570224,849596,945823,1073506,605714,621534,814118,1031718,1080255,643014,685016,748355,1057024,1130847,359134,482862,454168,611775,717483,217642,328478,345111,402292,510899,105736,165674,177644,197368,258030,100813,161056,169269,184910,248602,289968,484697,523633,546032,722126,403096,739848,1052106,995358,1179227,358665,671563,1064138,1088742,1110318,746867,1038778,1811156,2485247,2431254,761987,989160,1291611,2069479,2741493,347337,555209,588552,821517,1202418,143497,223364,257504,299287,458751,215428,341288,421534,438209,676499,646681,1059153,1369652,1452176,1727940,285116,511078,789669,1024134,1097537,57569,117342,210110,331287,434125,6618475,9550078,12630465,15593433,18379601,170968,196246,307461,388945,421709,2284786,3744254,5134869,6337929,7420802,1805860,2690122,3511825,4210760,4835475,7270,14698,21557,26451,121,2526612,4378691,6100262,7302947,8989580,2284786,3744254,5134869,6337929,7420802,241826,634437,965393,965018,1568778,86326,128877,238480,195336,371626,28211,62845,122349,101667,198232,17077,59155,64907,53429,47349,84205,304607,421003,484825,658611,26007,78953,118654,129761,292960
G130,Georgia,13,130,4589575,5463105,6478216,8186453,9687653,9714569,0,421709,414935,495535,595150,686785,470311,446831,483952,615584,695161,480924,469598,466614,607759,689684,271344,314766,281202,350741,419922,171227,216007,215950,245536,290077,88770,106612,109209,125148,143471,84010,102653,103347,117767,137251,244169,306819,310078,349281,399358,330790,481276,589952,641750,673935,273995,448765,584944,657506,661625,517074,647332,1015698,1353508,1397540,485103,528004,668951,1079992,1391252,207126,246907,259735,375651,573551,76621,93355,96499,122259,209870,98944,122514,142280,163546,286136,235106,330874,388051,435695,606429,105226,146423,208975,261723,311783,27126,39434,57244,87857,113823,4452116,5320078,6304583,7952631,9434454,137459,143027,173633,233822,253199,1369225,1871652,2366615,3006369,3585584,1144427,1426645,1713072,2111647,2457810,6402,13631,21154,25309,123,1470557,2028350,2638418,3281737,4088801,1369225,1871652,2366615,3006369,3585584,101332,156698,271803,275368,503217,42988,55897,115115,86905,174416,11450,20915,38816,38440,83852,7325,16598,20006,20353,19910,16443,31025,34254,51033,82365,23126,32263,63612,78637,142674
G150,Hawaii,15,150,768561,964691,1108229,1211537,1360301,1362730,0,70811,77848,83223,78163,87407,79836,73057,80907,84980,83361,79812,74870,73896,83106,81539,44170,49808,42100,49518,51511,27673,36638,30391,31484,34483,16703,21909,18158,16957,18488,18168,21796,18013,17015,18853,46684,61977,54623,49437,58488,59459,95287,100178,84000,97302,47633,84314,100518,87159,88031,95529,111416,178339,191177,176373,84252,94444,108775,170979,193765,30343,47383,45375,60561,93340,10484,16362,19275,19566,35376,12888,21432,29453,26834,46846,29489,49375,78653,85262,100523,11614,21214,35955,57775,64377,3013,5561,10397,17564,30238,730095,925092,1070597,1175755,1317421,38466,39599,37632,35782,42880,203088,294052,356267,403240,455338,170358,226035,263456,287068,313907,7740,15770,21525,29227,208,216085,334235,389810,460542,519508,203088,294052,356267,403240,455338,12997,40183,33543,57302,64170,5064,16289,9451,15699,16441,1211,2153,1631,3720,4277,1627,4518,3735,2683,2105,2137,6431,12888,25641,30196,2958,10792,5838,9559,11151
G160,Idaho,16,160,712567,943935,1006749,1293953,1567582,1567803,0,63840,93531,80193,97643,121772,72961,82734,90043,100756,121195,79497,79218,90186,104608,116955,46930,51182,47983,66023,69150,27135,36800,32455,44835,46209,11807,17685,14609,19868,22204,10867,17202,13491,19396,21776,30652,51347,37692,54730,64229,44360,82461,72067,85128,106734,38609,72941,80733,84305,102231,74933,104326,149168,192968,191609,77854,81449,98907,170248,208537,35159,41182,39407,60024,96997,13130,15820,15287,20324,35125,17057,22377,23263,27181,48191,40236,58292,69755,75970,109534,21866,26912,40112,51889,59892,5674,8476,11398,18057,25242,694455,924897,985259,1262457,1538631,18112,19038,21490,31496,28951,218960,324107,360723,469645,579408,179359,246550,263194,335588,403144,6248,11457,17841,22581,185,244695,375127,413327,527824,667796,218960,324107,360723,469645,579408,25735,51020,52604,58179,88388,5625,11617,8483,10656,16360,1888,5430,5199,7682,12814,1420,4317,3133,2725,3174,9636,22737,25342,28199,42292,7166,6919,10447,8917,13748
